show_id,type,title
81018234,Movie,
81018235,Movie,
81018236,Movie,
81018240,Movie,
,Movie,The Memphis Belle: A Story of a
,1944,TV-PG
80186926,TV Show,
,Movie,The Bad Education Movie
,,
